Date,CompleteTreatment,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,HighTempt_Switched,3,DMEL,7,M,0.00074,0.00045,4,5,0.5,0.25,4.83E-05,3.87E-05,HighTemp,,Switched,0.00029,4.08,0.578,2.19E-05,2.04E-05,2.73E-05,1.33731466,0.070502229,0.094283664
NA,HighTempt_Switched,21,DPSE,5,M,0.00099,0.00092,4,28,0.5,0.25,6.29E-05,5.00E-05,HighTemp,,Switched,0.00007,4.47,0.578,2.59E-05,2.41E-05,3.26E-05,1.35156016,0.344173209,0.465170798
NA,Control_Switched,12,DMEL,11,M,0.00054,0.00032,4,26,0.5,0.25,5.69E-05,4.60E-05,Control ,,Switched,0.00022,4.43,0.578,2.40E-05,2.25E-05,2.97E-05,1.32095071,0.102048408,0.134800917
NA,Control_Switched,4,DPSE,1,F,0.00171,0.00124,4,10,0.5,0.25,8.70E-05,7.02E-05,Control ,Notcompletelysureaboutfirstweight,Switched,0.00047,4.17,0.578,3.89E-05,3.65E-05,4.82E-05,1.32241255,0.077602999,0.10262318
NA,Control_Switched,16,DPSE,2,F,0.00149,0.00123,4,23,0.5,0.25,7.80E-05,6.20E-05,Control ,,Switched,0.00026,4.38,0.578,3.27E-05,3.05E-05,4.11E-05,1.34956647,0.117145467,0.158095595
NA,HighTempt_Switched,29,DPSE,6,M,0.00085,0,4,34,0.5,0.25,1.59E-05,1.26E-05,HighTemp,Waterinsidesyringe(DEAD),Switched,0.00085,4.57,0.577,6.36E-06,5.91E-06,8.03E-06,1.35811658,0.006956153,0.009447267
NA,HighTempt_Switched,30,DMEL,9,M,0.00097,0.00074,4,33,0.5,0.25,6.54E-05,5.14E-05,HighTemp,,Switched,0.00023,4.55,0.578,2.61E-05,2.42E-05,3.32E-05,1.37186278,0.105330755,0.144499342
NA,Control_Switched,30,DPSE,3,M,0.00094,0.00085,4,18,0.5,0.25,4.58E-05,3.55E-05,Control ,,Switched,0.00009,4.3,0.578,1.91E-05,1.76E-05,2.46E-05,1.3995275,0.195474343,0.27357172
NA,HighTempt_Switched,5,DMEL,7,M,0.00064,0.00054,4,12,0.5,0.25,5.03E-05,3.95E-05,HighTemp,,Switched,0.0001,4.2,0.578,2.17E-05,2.01E-05,2.77E-05,1.37655947,0.20127495,0.277066938
NA,HighTempt_Switched,19,DMEL,8,M,0.001,0.00082,4,20,0.5,0.25,5.82E-05,4.48E-05,HighTemp,,Switched,0.00018,4.33,0.578,2.39E-05,2.20E-05,3.11E-05,1.41085287,0.122306154,0.172555988
