Date,CompleteTreatment,SyringeNo,Species,Round,Sex,Pre-Weight,Post-Weight,Hours,Minutes,ChmVol,InjVol,TVCO2,TVO2,Treatment,Comment,Line,Mass,Time,Volcorr,O2pHRraw,O2pHR,CO2pHR,RQ,O2pHRpG,CO2pHRpG
NA,HighTempt_Kept,5,DPSE,16,F,0.00118,0.00114,4,6,0.5,0.25,5.30E-05,5.24E-05,HighTemp,Purgeweird,Kept,0.00004,4.1,0.578,2.95E-05,2.94E-05,2.99E-05,1.01552466,0.735673798,0.747094883
NA,Control_Kept,21,DMEL,19,F,0.00113,0.00103,5,13,0.5,0.25,7.61E-05,7.17E-05,Control ,,Kept,0.0001,5.22,0.578,3.18E-05,3.12E-05,3.37E-05,1.0797215,0.312427433,0.337334618
NA,HighTempt_Kept,3,DMEL,21,F,0.00115,0.00085,4,8,0.5,0.25,6.39E-05,6.28E-05,HighTemp,,Kept,0.0003,4.13,0.578,3.51E-05,3.50E-05,3.57E-05,1.0217615,0.116571254,0.119108019
NA,HighTempt_Kept,16,DMEL,22,F,0.00091,0.0008,4,16,0.5,0.25,6.42E-05,6.31E-05,HighTemp,,Kept,0.00011,4.27,0.578,3.42E-05,3.40E-05,3.48E-05,1.02342602,0.309035445,0.316274916
NA,Control_Kept,12,DPSE,17,F,0.00153,0.00147,3,51,0.5,0.25,6.01E-05,5.63E-05,Control ,,Kept,0.00006,3.85,0.578,3.38E-05,3.32E-05,3.61E-05,1.08639812,0.553412647,0.60122646
NA,HighTempt_Kept,5,DMEL,21,F,0.00093,0.00087,4,13,0.5,0.25,5.65E-05,5.53E-05,HighTemp,,Kept,0.00006,4.22,0.578,3.03E-05,3.01E-05,3.10E-05,1.02767638,0.502469381,0.516375915
NA,HighTempt_Kept,3,DMEL,13,M,0.00085,0.00058,3,57,0.5,0.25,6.03E-05,5.90E-05,HighTemp,,Kept,0.00027,3.95,0.578,3.45E-05,3.43E-05,3.53E-05,1.02844792,0.127067797,0.130682612
NA,Control_Kept,27,DMEL,20,M,0.00072,0.00061,5,12,0.5,0.25,5.92E-05,5.54E-05,Control ,,Kept,0.00011,5.2,0.578,2.46E-05,2.42E-05,2.63E-05,1.08899814,0.219637909,0.239185274
NA,HighTempt_Kept,4,DPSE,18,M,0.00092,0.00083,4,7,0.5,0.25,3.99E-05,3.90E-05,HighTemp,,Kept,0.00009,4.12,0.578,2.19E-05,2.18E-05,2.24E-05,1.03006785,0.24168538,0.24895234
NA,Control_Kept,14,DPSE,17,F,0.00145,0.00136,3,57,0.5,0.25,6.41E-05,5.97E-05,Control ,,Kept,0.00009,3.95,0.578,3.49E-05,3.42E-05,3.75E-05,1.09671864,0.380212152,0.416985754
NA,HighTempt_Kept,2,DPSE,16,F,0.00079,0.00074,3,59,0.5,0.25,3.72E-05,3.63E-05,HighTemp,,Kept,0.00005,3.98,0.578,2.11E-05,2.09E-05,2.16E-05,1.0319102,0.418977403,0.432347054
NA,Control_Kept,20,DMEL,22,M,0.00072,0.00068,4,26,0.5,0.25,6.72E-05,6.25E-05,Control ,,Kept,0.00004,4.43,0.578,3.26E-05,3.19E-05,3.50E-05,1.09831924,0.797784909,0.876222514
NA,HighTempt_Kept,13,DMEL,22,F,0.00103,0.00086,4,10,0.5,0.25,6.29E-05,6.11E-05,HighTemp,,Kept,0.00017,4.17,0.578,3.39E-05,3.36E-05,3.49E-05,1.03735604,0.197739265,0.205126022
NA,HighTempt_Kept,9,DMEL,21,F,0.00087,0.00077,4,22,0.5,0.25,6.17E-05,5.97E-05,HighTemp,,Kept,0.0001,4.37,0.578,3.16E-05,3.13E-05,3.26E-05,1.04224897,0.313182782,0.326414431
NA,HighTempt_Kept,8,DMEL,21,F,0.0011,0.00089,4,20,0.5,0.25,7.89E-05,7.43E-05,HighTemp,,Kept,0.00021,4.33,0.578,3.96E-05,3.89E-05,4.21E-05,1.08067549,0.185447941,0.200409045
NA,HighTempt_Kept,8,DPSE,18,M,0.00084,0.00066,4,17,0.5,0.25,3.57E-05,3.29E-05,HighTemp,,Kept,0.00018,4.28,0.578,1.78E-05,1.74E-05,1.92E-05,1.10635041,0.096619205,0.106894697
NA,Control_Kept,25,DMEL,20,M,0.00081,0.00072,5,8,0.5,0.25,7.12E-05,6.60E-05,Control ,ControlkeptDMEL,Kept,0.00009,5.13,0.578,2.97E-05,2.91E-05,3.21E-05,1.10188067,0.323351283,0.35629453
NA,Control_Kept,23,DMEL,22,F,0.00128,0.00105,4,33,0.5,0.25,7.75E-05,7.09E-05,Control ,,Kept,0.00023,4.55,0.578,3.60E-05,3.51E-05,3.93E-05,1.12082917,0.152615626,0.171056045
NA,HighTempt_Kept,1,DPSE,16,F,0.001,0.00094,3,56,0.5,0.25,4.48E-05,4.12E-05,HighTemp,,Kept,0.00006,3.93,0.578,2.42E-05,2.37E-05,2.63E-05,1.11336601,0.394206074,0.438895645
NA,Control_Kept,21,DPSE,17,F,0.00153,0.00148,4,15,0.5,0.25,7.36E-05,6.71E-05,Control ,,Kept,0.00005,4.25,0.578,3.65E-05,3.55E-05,4.00E-05,1.12702715,0.710618372,0.800886195
NA,HighTempt_Kept,7,DPSE,18,M,0.00092,0.00071,4,14,0.5,0.25,4.30E-05,3.93E-05,HighTemp,,Kept,0.00021,4.23,0.578,2.15E-05,2.09E-05,2.35E-05,1.12137784,0.099667855,0.111765323
NA,HighTempt_Kept,3,DPSE,16,F,0.00096,0.0009,4,1,0.5,0.25,4.34E-05,3.93E-05,HighTemp,,Kept,0.00006,4.02,0.578,2.26E-05,2.20E-05,2.50E-05,1.13808726,0.366169893,0.416733292
NA,HighTempt_Kept,11,DPSE,18,M,0.00092,0.00083,4,24,0.5,0.25,4.69E-05,4.20E-05,HighTemp,,Kept,0.00009,4.4,0.578,2.21E-05,2.14E-05,2.47E-05,1.15264472,0.237746827,0.274037625
NA,Control_Kept,30,DPSE,15,M,0.00083,0.00078,4,31,0.5,0.25,4.63E-05,4.21E-05,Control ,,Kept,0.00005,4.52,0.578,2.15E-05,2.10E-05,2.37E-05,1.13159779,0.419042726,0.474187823
NA,Control_Kept,19,DMEL,19,F,0.00088,0.00086,5,8,0.5,0.25,6.27E-05,5.66E-05,Control ,,Kept,0.00002,5.13,0.578,2.55E-05,2.48E-05,2.82E-05,1.13869467,1.239228414,1.411102785
NA,Control_Kept,27,DPSE,15,M,0.00079,,4,23,0.5,0.25,4.15E-05,3.74E-05,Control ,Flewawaybefore2ndweight,Kept,0.00079,4.38,0.577,1.97E-05,1.91E-05,2.19E-05,1.14344781,0.024190101,0.027660118
NA,HighTempt_Kept,14,DMEL,14,M,0.00069,0.00069,4,3,0.5,0.25,1.92E-05,1.70E-05,HighTemp,Deadno2ndweight,Kept,0,4.05,0.578,9.68E-06,9.34E-06,1.09E-05,1.17049477,#DIV/0!,#DIV/0!
NA,HighTempt_Kept,12,DPSE,19,M,0.00077,0.00065,4,52,0.5,0.25,3.85E-05,3.40E-05,HighTemp,Hightemptkept,Kept,0.00012,4.87,0.578,1.61E-05,1.56E-05,1.83E-05,1.17398281,0.129685317,0.152248333
NA,HighTempt_Kept,6,DPSE,16,F,0.00097,0.00084,4,8,0.5,0.25,5.79E-05,5.09E-05,HighTemp,,Kept,0.00013,4.13,0.578,2.85E-05,2.74E-05,3.24E-05,1.18040036,0.210899507,0.248945854
NA,Control_Kept,33,DMEL,20,M,0.00053,0.00051,5,27,0.5,0.25,5.94E-05,5.35E-05,Control ,,Kept,0.00002,5.45,0.578,2.27E-05,2.20E-05,2.52E-05,1.14496392,1.100366356,1.259879774
NA,HighTempt_Kept,17,DPSE,14,F,0.00121,0.00099,4,10,0.5,0.25,6.06E-05,5.31E-05,HighTemp,,Kept,0.00022,4.17,0.578,2.95E-05,2.84E-05,3.36E-05,1.18493315,0.128963081,0.152812629
NA,HighTempt_Kept,12,DMEL,14,M,0.00078,0.00074,3,58,0.5,0.25,5.57E-05,4.88E-05,HighTemp,,Kept,0.00004,3.97,0.578,2.85E-05,2.74E-05,3.25E-05,1.1858274,0.684954979,0.812238381
NA,HighTempt_Kept,4,DMEL,13,M,0.0008,0.0007,4,0,0.5,0.25,4.15E-05,3.62E-05,HighTemp,,Kept,0.0001,4,0.578,2.09E-05,2.01E-05,2.40E-05,1.19180408,0.201117892,0.239693125
NA,HighTempt_Kept,10,DPSE,18,M,0.0009,0.00075,4,22,0.5,0.25,4.83E-05,4.17E-05,HighTemp,Hightempkept,Kept,0.00015,4.37,0.578,2.21E-05,2.11E-05,2.56E-05,1.2099545,0.140844895,0.170415914
NA,Control_Kept,17,DMEL,22,M,0.00071,0.00065,4,18,0.5,0.25,6.99E-05,6.28E-05,Control ,,Kept,0.00006,4.3,0.578,3.38E-05,3.27E-05,3.76E-05,1.14797026,0.545771044,0.626528928
NA,HighTempt_Kept,1,DMEL,13,M,0.00071,0.00063,3,53,0.5,0.25,5.75E-05,4.95E-05,HighTemp,,Kept,0.00008,3.88,0.578,2.94E-05,2.82E-05,3.42E-05,1.21413807,0.352222086,0.427646242
NA,HighTempt_Kept,5,DMEL,13,M,0.00085,0.00067,4,2,0.5,0.25,5.51E-05,4.72E-05,HighTemp,,Kept,0.00018,4.03,0.578,2.70E-05,2.58E-05,3.16E-05,1.22366164,0.143445437,0.175528678
NA,Control_Kept,22,DMEL,19,F,0.00111,0.00097,5,15,0.5,0.25,8.72E-05,7.80E-05,Control ,,Kept,0.00014,5.25,0.578,3.44E-05,3.33E-05,3.84E-05,1.15261906,0.237841958,0.274141174
NA,HighTempt_Kept,3,DPSE,18,M,0.00082,0.00067,4,4,0.5,0.25,3.68E-05,3.14E-05,HighTemp,,Kept,0.00015,4.07,0.578,1.78E-05,1.70E-05,2.09E-05,1.22858443,0.113391001,0.139310418
NA,HighTempt_Kept,7,DMEL,21,F,0.00102,0.00092,4,17,0.5,0.25,5.69E-05,4.85E-05,HighTemp,,Kept,0.0001,4.28,0.578,2.62E-05,2.49E-05,3.07E-05,1.23052584,0.24948985,0.307003707
NA,HighTempt_Kept,4,DPSE,16,F,0.00081,0.0008,4,3,0.5,0.25,3.92E-05,3.33E-05,HighTemp,,Kept,0.00001,4.05,0.578,1.90E-05,1.81E-05,2.24E-05,1.23656938,1.810062826,2.238268263
NA,HighTempt_Kept,7,DMEL,13,M,0.00078,0.00054,4,7,0.5,0.25,6.32E-05,5.27E-05,HighTemp,,Kept,0.00024,4.12,0.578,2.96E-05,2.80E-05,3.55E-05,1.26683023,0.116765122,0.147921586
NA,Control_Kept,17,DMEL,19,F,0.00126,0.00116,5,3,0.5,0.25,7.35E-05,6.49E-05,Control ,,Kept,0.0001,5.05,0.578,2.97E-05,2.87E-05,3.37E-05,1.17382668,0.286674328,0.336505974
NA,HighTempt_Kept,13,DMEL,14,M,0.00072,0.00062,4,1,0.5,0.25,5.21E-05,4.34E-05,HighTemp,,Kept,0.0001,4.02,0.578,2.50E-05,2.36E-05,3.00E-05,1.26927772,0.236420955,0.30008385
NA,Control_Kept,10,DPSE,16,F,0.00145,0.00138,4,18,0.5,0.25,7.12E-05,6.22E-05,Control ,,Kept,0.00007,4.3,0.578,3.35E-05,3.22E-05,3.83E-05,1.18846673,0.459792073,0.546447583
NA,Control_Kept,18,DMEL,22,M,0.00083,0.00075,4,21,0.5,0.25,6.96E-05,6.04E-05,Control ,,Kept,0.00008,4.35,0.578,3.21E-05,3.08E-05,3.70E-05,1.20156128,0.38492389,0.462509642
NA,Control_Kept,31,DMEL,20,M,0.00074,0.00072,5,22,0.5,0.25,8.06E-05,6.94E-05,Control ,,Kept,0.00002,5.37,0.578,2.99E-05,2.86E-05,3.47E-05,1.21285233,1.43161755,1.73634068
NA,Control_Kept,15,DPSE,17,F,0.00166,0.00148,4,0,0.5,0.25,6.74E-05,5.80E-05,Control ,,Kept,0.00018,4,0.578,3.35E-05,3.21E-05,3.89E-05,1.21407575,0.178101044,0.216228159
NA,Control_Kept,30,DMEL,20,M,0.0008,0.00067,5,19,0.5,0.25,6.39E-05,5.48E-05,Control ,,Kept,0.00013,5.32,0.578,2.38E-05,2.28E-05,2.78E-05,1.22051716,0.175221706,0.2138611
NA,HighTempt_Kept,10,DMEL,13,M,0.00073,0.00063,4,15,0.5,0.25,4.75E-05,3.85E-05,HighTemp,,Kept,0.0001,4.25,0.578,2.09E-05,1.96E-05,2.58E-05,1.31436216,0.196392524,0.258130902
NA,HighTempt_Kept,6,DMEL,13,M,0.00064,0.00057,4,5,0.5,0.25,6.08E-05,4.86E-05,HighTemp,,Kept,0.00007,4.08,0.578,2.75E-05,2.56E-05,3.44E-05,1.34296427,0.366371945,0.492024432
NA,Control_Kept,32,DMEL,20,M,0.00086,0.00049,5,25,0.5,0.25,7.10E-05,6.02E-05,Control ,,Kept,0.00037,5.42,0.578,2.57E-05,2.44E-05,3.03E-05,1.23979335,0.066059276,0.081899851
NA,HighTempt_Kept,6,DPSE,18,M,0.00089,0.00074,4,11,0.5,0.25,4.54E-05,3.55E-05,HighTemp,Hightempkept,Kept,0.00015,4.18,0.578,1.96E-05,1.82E-05,2.51E-05,1.37680826,0.121366233,0.167098032
NA,HighTempt_Kept,11,DMEL,13,M,0.00072,0.00061,4,17,0.5,0.25,4.41E-05,3.42E-05,HighTemp,,Kept,0.00011,4.28,0.578,1.84E-05,1.70E-05,2.38E-05,1.39798178,0.15475359,0.216342699
NA,Control_Kept,9,DPSE,16,F,0.00168,0.00156,4,16,0.5,0.25,7.80E-05,6.43E-05,Control ,,Kept,0.00012,4.27,0.578,3.48E-05,3.29E-05,4.23E-05,1.28495165,0.274040782,0.352129156
NA,Control_Kept,27,DMEL,23,F,0.00116,0.00103,4,16,0.5,0.25,1.02E-04,8.34E-05,Control ,,Kept,0.00013,4.27,0.578,4.52E-05,4.25E-05,5.52E-05,1.29777625,0.327114871,0.424521912
NA,Control_Kept,28,DMEL,20,M,0.00075,0.0007,5,14,0.5,0.25,7.39E-05,6.04E-05,Control ,,Kept,0.00005,5.23,0.578,2.67E-05,2.51E-05,3.26E-05,1.29869029,0.502420414,0.652488511
NA,Control_Kept,25,DPSE,15,M,0.00087,0.00082,4,15,0.5,0.25,3.67E-05,2.94E-05,Control ,,Kept,0.00005,4.25,0.578,1.60E-05,1.50E-05,2.00E-05,1.33642824,0.299086492,0.399707633
NA,HighTempt_Kept,2,DMEL,13,M,0.00075,0.00064,3,55,0.5,0.25,4.96E-05,3.83E-05,HighTemp,,Kept,0.00011,3.92,0.578,2.26E-05,2.08E-05,2.93E-05,1.40707983,0.189124236,0.266112897
NA,HighTempt_Kept,20,DPSE,14,F,0.00109,0.00103,4,17,0.5,0.25,6.54E-05,4.95E-05,HighTemp,,Kept,0.00006,4.28,0.578,2.67E-05,2.45E-05,3.53E-05,1.44135904,0.407993885,0.588065673
NA,HighTempt_Kept,6,DMEL,21,F,0.0011,0.00096,4,15,0.5,0.25,7.62E-05,5.70E-05,HighTemp,,Kept,0.00014,4.25,0.578,3.10E-05,2.82E-05,4.15E-05,1.47004029,0.201416038,0.296089693
NA,Control_Kept,28,DMEL,23,F,0.00099,0.00086,4,19,0.5,0.25,7.84E-05,6.23E-05,Control ,,Kept,0.00013,4.32,0.578,3.34E-05,3.11E-05,4.20E-05,1.34935738,0.239233611,0.322811638
NA,Control_Kept,25,DMEL,23,F,0.00113,0.001,4,10,0.5,0.25,7.71E-05,6.08E-05,Control ,,Kept,0.00013,4.17,0.578,3.37E-05,3.13E-05,4.28E-05,1.36423259,0.24108204,0.328891975
NA,HighTempt_Kept,9,DMEL,13,M,0.00083,0.00052,4,12,0.5,0.25,8.98E-05,6.65E-05,HighTemp,,Kept,0.00031,4.2,0.578,3.66E-05,3.32E-05,4.94E-05,1.48661585,0.107169694,0.159320166
NA,Control_Kept,20,DPSE,17,F,0.00123,0.0012,4,11,0.5,0.25,7.38E-05,5.80E-05,Control ,,Kept,0.00003,4.18,0.578,3.21E-05,2.98E-05,4.08E-05,1.37063691,0.991819523,1.359424442
NA,Control_Kept,17,DPSE,17,F,0.00137,0.00136,4,5,0.5,0.25,6.61E-05,4.96E-05,Control ,,Kept,0.00001,4.08,0.578,2.81E-05,2.56E-05,3.74E-05,1.46043714,2.562741074,3.742722244
NA,Control_Kept,16,DPSE,17,F,0.00142,0.00137,4,2,0.5,0.25,7.15E-05,4.81E-05,Control ,,Kept,0.00005,4.03,0.578,2.76E-05,2.40E-05,4.10E-05,1.70653832,0.480026481,0.819183583
NA,Control_Kept,8,DPSE,16,F,0.00152,0.00141,4,14,0.5,0.25,7.30E-05,4.83E-05,Control ,,Kept,0.00011,4.23,0.578,2.64E-05,2.28E-05,3.99E-05,1.74832936,0.207305374,0.362438072
NA,Control_Kept,7,DPSE,16,F,0.00174,0.00138,4,10,0.5,0.25,8.29E-05,5.46E-05,Control ,,Kept,0.00036,4.17,0.578,3.03E-05,2.61E-05,4.60E-05,1.75911302,0.072563208,0.127646884
NA,Control_Switched,28,DPSE,3,M,0.00064,0.0006,4,13,0.5,0.25,3.76E-05,6.74E-05,Control ,,Switched,0.00004,4.22,0.578,3.69E-05,4.13E-05,2.06E-05,0.49899583,1.031804352,0.514866069
NA,Control_Switched,26,DPSE,3,M,0.00087,0.00067,4,8,0.5,0.25,4.74E-05,7.02E-05,Control ,,Switched,0.0002,4.13,0.578,3.93E-05,4.26E-05,2.65E-05,0.62156785,0.2131447,0.132483893
NA,Control_Switched,27,DPSE,3,M,0.00062,0.00059,4,11,0.5,0.25,3.59E-05,5.26E-05,Control ,Onewingeddestroyed,Switched,0.00003,4.18,0.578,2.91E-05,3.15E-05,1.98E-05,0.6297189,1.04995534,0.66117672
NA,HighTempt_Kept,8,DMEL,13,M,0.00086,0.00072,4,9,0.5,0.25,5.90E-05,4.32E-05,HighTemp,,Kept,0.00014,4.15,0.578,2.41E-05,2.17E-05,3.28E-05,1.51034867,0.155280428,0.234527589
NA,Control_Switched,12,DPSE,2,F,0.00116,0.00099,4,11,0.5,0.25,5.12E-05,7.21E-05,Control ,,Switched,0.00017,4.18,0.578,3.98E-05,4.29E-05,2.83E-05,0.66030862,0.252222773,0.166544872
NA,Control_Switched,14,DPSE,2,F,0.0016,0.00141,4,18,0.5,0.25,5.80E-05,7.84E-05,Control ,,Switched,0.00019,4.3,0.578,4.21E-05,4.50E-05,3.12E-05,0.69226685,0.237057513,0.164107058
NA,HighTempt_Kept,5,DPSE,18,M,0.00088,0.00069,4,9,0.5,0.25,3.65E-05,2.63E-05,HighTemp,,Kept,0.00019,4.15,0.578,1.47E-05,1.32E-05,2.03E-05,1.54561295,0.069270821,0.107065879
NA,HighTempt_Kept,9,DPSE,18,M,0.00073,0.00067,4,19,0.5,0.25,5.37E-05,3.87E-05,HighTemp,Incubation–5minutes,Kept,0.00006,4.32,0.578,2.07E-05,1.86E-05,2.88E-05,1.54663684,0.310028491,0.479501486
NA,Control_Switched,7,DPSE,1,M,0.00072,0.0007,4,18,0.5,0.25,5.79E-05,6.77E-05,Control ,,Switched,0.00002,4.3,0.578,3.64E-05,3.78E-05,3.11E-05,0.82329908,1.890070261,1.55609311
NA,Control_Switched,10,DMEL,10,M,0.00072,0.00054,4,34,0.5,0.25,5.31E-05,6.09E-05,Control ,,Switched,0.00018,4.57,0.578,3.08E-05,3.18E-05,2.69E-05,0.84480639,0.176884463,0.149433124
NA,Control_Switched,25,DPSE,3,M,0.00085,0.00072,4,6,0.5,0.25,4.18E-05,4.72E-05,Control ,,Switched,0.00013,4.1,0.578,2.66E-05,2.74E-05,2.36E-05,0.86031879,0.210821618,0.181373798
NA,HighTempt_Switched,28,DPSE,6,M,0.00076,0.0007,4,32,0.5,0.25,6.10E-06,0.00E+00,HighTemp,Waterinsidesyringe(DEAD),Switched,0.00006,4.53,0.578,0.00E+00,-8.24E-07,3.11E-06,0,-0.013738176,0.05186916
NA,HighTempt_Switched,15,DPSE,5,F,0.00127,0.00113,4,12,0.5,0.25,1.77E-05,7.86E-05,HighTemp,,Switched,0.00014,4.2,0.578,4.33E-05,5.21E-05,9.77E-06,0.18730524,0.37239362,0.069751275
NA,Control_Switched,9,DPSE,1,M,0.00082,0.0007,4,23,0.5,0.25,4.16E-05,4.61E-05,Control ,,Switched,0.00012,4.38,0.578,2.43E-05,2.49E-05,2.19E-05,0.87937823,0.207669484,0.182620024
NA,Control_Switched,26,DMEL,12,F,0.00112,0.00107,4,39,0.5,0.25,7.23E-05,7.98E-05,Control ,,Switched,0.00005,4.65,0.578,3.97E-05,4.07E-05,3.60E-05,0.88419361,0.813479382,0.719273268
NA,HighTempt_Switched,16,DPSE,5,M,0.00079,0.00064,4,16,0.5,0.25,4.18E-05,5.35E-05,HighTemp,,Switched,0.00015,4.27,0.578,2.90E-05,3.07E-05,2.26E-05,0.73837653,0.204472163,0.150977446
NA,Control_Switched,18,DMEL,11,F,0.001,0.00097,4,39,0.5,0.25,6.14E-05,6.68E-05,Control ,,Switched,0.00003,4.65,0.578,3.32E-05,3.39E-05,3.05E-05,0.8995963,1.131606992,1.017989463
NA,Control_Switched,11,DMEL,10,M,0.00074,0.00061,4,39,0.5,0.25,5.50E-05,5.83E-05,Control ,,Switched,0.00013,4.65,0.578,2.90E-05,2.94E-05,2.73E-05,0.92867134,0.226292313,0.210151186
NA,HighTempt_Switched,10,DPSE,4,F,0.00137,0.00128,4,21,0.5,0.25,6.67E-05,7.37E-05,HighTemp,,Switched,0.00009,4.35,0.578,3.92E-05,4.01E-05,3.55E-05,0.88331922,0.44602305,0.393980733
NA,Control_Switched,9,DMEL,10,M,0.0004,0.00037,4,31,0.5,0.25,4.84E-05,5.06E-05,Control ,,Switched,0.00003,4.52,0.578,2.59E-05,2.62E-05,2.48E-05,0.94589907,0.872561833,0.825355422
NA,Control_Switched,23,DPSE,3,M,0.00087,0.00075,4,1,0.5,0.25,4.64E-05,4.81E-05,Control ,,Switched,0.00012,4.02,0.578,2.77E-05,2.80E-05,2.67E-05,0.95423553,0.232951205,0.222290316
NA,Control_Switched,24,DMEL,12,F,0.00102,0.00086,4,34,0.5,0.25,5.40E-05,5.52E-05,Control ,,Switched,0.00016,4.57,0.578,2.79E-05,2.81E-05,2.73E-05,0.97305215,0.175539071,0.170808671
NA,Control_Switched,8,DPSE,1,M,0.00111,0.00108,4,20,0.5,0.25,3.24E-05,3.27E-05,Control ,,Switched,0.00003,4.33,0.578,1.75E-05,1.75E-05,1.73E-05,0.98825376,0.583465064,0.576611544
NA,Control_Switched,10,DPSE,1,M,0.00072,0.00065,4,26,0.5,0.25,3.98E-05,4.02E-05,Control ,,Switched,0.00007,4.43,0.578,2.09E-05,2.10E-05,2.07E-05,0.98832612,0.299873527,0.29637284
NA,Control_Switched,5,DPSE,1,F,0.00114,0.00103,4,12,0.5,0.25,4.94E-05,4.97E-05,Control ,,Switched,0.00011,4.2,0.578,2.73E-05,2.74E-05,2.72E-05,0.99164811,0.249050036,0.246969998
NA,Control_Switched,17,DPSE,2,F,0.00174,0.00135,4,26,0.5,0.25,9.49E-05,9.44E-05,Control ,,Switched,0.00039,4.43,0.578,4.92E-05,4.91E-05,4.95E-05,1.00693992,0.125928689,0.126802624
NA,HighTempt_Switched,13,DPSE,5,F,0.00121,0.00119,4,4,0.5,0.25,5.54E-05,6.01E-05,HighTemp,,Switched,0.00002,4.07,0.578,3.41E-05,3.48E-05,3.15E-05,0.90421423,1.742202255,1.575324078
NA,Control_Switched,4,DMEL,10,M,0.00056,0.0005,4,15,0.5,0.25,4.75E-05,4.72E-05,Control ,,Switched,0.00006,4.25,0.578,2.57E-05,2.56E-05,2.58E-05,1.00939107,0.426750677,0.430758324
NA,HighTempt_Switched,1,DPSE,4,F,0.00128,0.00096,4,1,0.5,0.25,4.36E-05,4.72E-05,HighTemp,,Switched,0.00032,4.02,0.578,2.72E-05,2.77E-05,2.51E-05,0.90510971,0.086622012,0.078402424
NA,Control_Switched,6,DMEL,10,M,0.00066,0.00052,4,22,0.5,0.25,4.99E-05,4.88E-05,Control ,,Switched,0.00014,4.37,0.578,2.58E-05,2.57E-05,2.64E-05,1.02882375,0.18353011,0.188820135
